First Name,Last Name,Email,Phone,Company
Abhiram,Ogirala,abhiramogirala@gmail.com,1234567890,Coforge
Sai,Teja,sai.teja@gmail.com,9876543210,Infosys
Rahul,Sharma,rahul.sharma@gmail.com,9123456789,TCS
Priya,Reddy,priya.reddy@gmail.com,9012345678,Wipro
Anil,Kumar,anil.kumar@gmail.com,9988776655,Accenture
Sneha,Patel,sneha.patel@gmail.com,9090909090,Capgemini
Ravi,Verma,ravi.verma@gmail.com,9876501234,IBM
Neha,Singh,neha.singh@gmail.com,9345678901,HCL
Arjun,Das,arjun.das@gmail.com,9456123789,Oracle
Kiran,Rao,kiran.rao@gmail.com,9765432109,Microsoft
